Time,sensor_m_flow.m_flow,sensor_m_flow6.m_flow,sensor_m_flow3.m_flow,sensor_m_flow4.m_flow
9710,0,-5.3635169649869512e-24,0.78734880685806274,-0.78734880685806274
9720,0,-4.8426873295328826e-24,0.78962063789367676,-0.78962063789367676
9730,0,-4.3490359244159409e-24,0.79189246892929077,-0.79189246892929077
9740,0,-3.882167924753063e-24,0.79416429996490479,-0.79416429996490479
9750,0,-3.4416881112307331e-24,0.7964361310005188,-0.7964361310005188
9760,0,-3.0272038283333776e-24,0.79870790243148804,-0.79870790243148804
9770,0,-2.63832202611497e-24,0.80097973346710205,-0.80097973346710205
9780,0,-2.2746506407056154e-24,0.80325156450271606,-0.80325156450271606
9790,0,-1.9357985943115507e-24,0.80552339553833008,-0.80552339553833008
9800,0,-1.6213758938227571e-24,0.80779516696929932,-0.80779516696929932
9810,0,-1.3309928419520555e-24,0.81006699800491333,-0.81006699800491333
9820,0,-1.0642609247036245e-24,0.81233882904052734,-0.81233882904052734
9830,0,-8.2079231833493477e-25,0.81461060047149658,-0.81461060047149658
9840,0,-6.0020003726816893e-25,0.8168824315071106,-0.8168824315071106
9850,0,-4.0209786013451139e-25,0.81915426254272461,-0.81915426254272461
9860,0,-2.2610050233747155e-25,0.82142603397369385,-0.82142603397369385
9870,0,-7.1823437326584928e-26,0.82369786500930786,-0.82369786500930786
9880,0,6.1117054098780288e-26,0.82596969604492188,-0.82596969604492188
9890,0,1.7310384064859245e-25,0.82824146747589111,-0.82824146747589111
9900,0,2.6451898984596307e-25,0.83051329851150513,-0.83051329851150513
9910,0,3.3574376186417093e-25,0.83278512954711914,-0.83278512954711914
9920,0,3.8715853557095231e-25,0.83505690097808838,-0.83505690097808838
9930,0,4.1914290097313823e-25,0.83732873201370239,-0.83732873201370239
9940,0,4.3207573317236438e-25,0.83960050344467163,-0.83960050344467163
9950,0,4.2633484723842505e-25,0.84187233448028564,-0.84187233448028564
9960,0,4.0229751589924217e-25,0.84414416551589966,-0.84414416551589966
9970,0,3.6033997650279961e-25,0.8464159369468689,-0.8464159369468689
9980,0,3.0083772683998255e-25,0.84868776798248291,-0.84868776798248291
9990,0,2.2416547584077099e-25,0.85095953941345215,-0.85095953941345215
10000,0,1.3069705729257817e-25,0.85323137044906616,-0.85323137044906616
