Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
950,492.99981689453125,492.99981689453125,492.99981689453125,492.93841552734375,492.93841552734375,492.93841552734375
960,492.9981689453125,492.9981689453125,492.9981689453125,492.93679809570313,492.93679809570313,492.93679809570313
970,492.99655151367188,492.99655151367188,492.99655151367188,492.93515014648438,492.93515014648438,492.93515014648438
980,492.99490356445313,492.99490356445313,492.99490356445313,492.93353271484375,492.93353271484375,492.93353271484375
990,492.99325561523438,492.99325561523438,492.99325561523438,492.931884765625,492.931884765625,492.931884765625
1000,492.99160766601563,492.99160766601563,492.99160766601563,492.93026733398438,492.93026733398438,492.93026733398438
1010,492.989990234375,492.989990234375,492.989990234375,492.92861938476563,492.92861938476563,492.92861938476563
1020,492.98834228515625,492.98834228515625,492.98834228515625,492.927001953125,492.927001953125,492.927001953125
1030,492.9866943359375,492.9866943359375,492.9866943359375,492.92535400390625,492.92535400390625,492.92535400390625
1040,492.98504638671875,492.98504638671875,492.98504638671875,492.92373657226563,492.92373657226563,492.92373657226563
1050,492.98342895507813,492.98342895507813,492.98342895507813,492.92208862304688,492.92208862304688,492.92208862304688
1060,492.98178100585938,492.98178100585938,492.98178100585938,492.92047119140625,492.92047119140625,492.92047119140625
1070,492.98013305664063,492.98013305664063,492.98013305664063,492.9188232421875,492.9188232421875,492.9188232421875
1080,492.978515625,492.978515625,492.978515625,492.91720581054688,492.91720581054688,492.91720581054688
1090,492.97686767578125,492.97686767578125,492.97686767578125,492.91555786132813,492.91555786132813,492.91555786132813
1100,492.9752197265625,492.9752197265625,492.9752197265625,492.9139404296875,492.9139404296875,492.9139404296875
1110,492.97360229492188,492.97360229492188,492.97360229492188,492.91232299804688,492.91232299804688,492.91232299804688
1120,492.97195434570313,492.97195434570313,492.97195434570313,492.91067504882813,492.91067504882813,492.91067504882813
1130,492.97030639648438,492.97030639648438,492.97030639648438,492.9090576171875,492.9090576171875,492.9090576171875
1140,492.96868896484375,492.96868896484375,492.96868896484375,492.90740966796875,492.90740966796875,492.90740966796875
1150,492.967041015625,492.967041015625,492.967041015625,492.90579223632813,492.90579223632813,492.90579223632813
1160,492.96539306640625,492.96539306640625,492.96539306640625,492.90414428710938,492.90414428710938,492.90414428710938
1170,492.96377563476563,492.96377563476563,492.96377563476563,492.90252685546875,492.90252685546875,492.90252685546875
1180,492.96212768554688,492.96212768554688,492.96212768554688,492.90090942382813,492.90090942382813,492.90090942382813
1190,492.96047973632813,492.96047973632813,492.96047973632813,492.89926147460938,492.89926147460938,492.89926147460938
1200,492.9588623046875,492.9588623046875,492.9588623046875,492.89764404296875,492.89764404296875,492.89764404296875
1210,492.95721435546875,492.95721435546875,492.95721435546875,492.89602661132813,492.89602661132813,492.89602661132813
1220,492.95559692382813,492.95559692382813,492.95559692382813,492.89437866210938,492.89437866210938,492.89437866210938
1230,492.95394897460938,492.95394897460938,492.95394897460938,492.89276123046875,492.89276123046875,492.89276123046875
1240,492.95230102539063,492.95230102539063,492.95230102539063,492.89114379882813,492.89114379882813,492.89114379882813
1250,492.95068359375,492.95068359375,492.95068359375,492.88949584960938,492.88949584960938,492.88949584960938
1260,492.94903564453125,492.94903564453125,492.94903564453125,492.88787841796875,492.88787841796875,492.88787841796875
1270,492.94741821289063,492.94741821289063,492.94741821289063,492.88626098632813,492.88626098632813,492.88626098632813
1280,492.94577026367188,492.94577026367188,492.94577026367188,492.88461303710938,492.88461303710938,492.88461303710938
1290,492.94415283203125,492.94415283203125,492.94415283203125,492.88299560546875,492.88299560546875,492.88299560546875
1300,492.9425048828125,492.9425048828125,492.9425048828125,492.88137817382813,492.88137817382813,492.88137817382813
1310,492.94088745117188,492.94088745117188,492.94088745117188,492.87973022460938,492.87973022460938,492.87973022460938
1320,492.93923950195313,492.93923950195313,492.93923950195313,492.87811279296875,492.87811279296875,492.87811279296875
1330,492.93759155273438,492.93759155273438,492.93759155273438,492.87649536132813,492.87649536132813,492.87649536132813
1340,492.93597412109375,492.93597412109375,492.93597412109375,492.8748779296875,492.8748779296875,492.8748779296875
1350,492.934326171875,492.934326171875,492.934326171875,492.87322998046875,492.87322998046875,492.87322998046875
1360,492.93270874023438,492.93270874023438,492.93270874023438,492.87161254882813,492.87161254882813,492.87161254882813
1370,492.93106079101563,492.93106079101563,492.93106079101563,492.8699951171875,492.8699951171875,492.8699951171875
1380,492.929443359375,492.929443359375,492.929443359375,492.86837768554688,492.86837768554688,492.86837768554688
1390,492.92779541015625,492.92779541015625,492.92779541015625,492.86672973632813,492.86672973632813,492.86672973632813
1400,492.92617797851563,492.92617797851563,492.92617797851563,492.8651123046875,492.8651123046875,492.8651123046875
1410,492.924560546875,492.924560546875,492.924560546875,492.86349487304688,492.86349487304688,492.86349487304688
1420,492.92291259765625,492.92291259765625,492.92291259765625,492.86187744140625,492.86187744140625,492.86187744140625
1430,492.92129516601563,492.92129516601563,492.92129516601563,492.86026000976563,492.86026000976563,492.86026000976563
1440,492.91964721679688,492.91964721679688,492.91964721679688,492.85861206054688,492.85861206054688,492.85861206054688
1450,492.91802978515625,492.91802978515625,492.91802978515625,492.85699462890625,492.85699462890625,492.85699462890625
1460,492.9163818359375,492.9163818359375,492.9163818359375,492.85537719726563,492.85537719726563,492.85537719726563
1470,492.91476440429688,492.91476440429688,492.91476440429688,492.853759765625,492.853759765625,492.853759765625
1480,492.91311645507813,492.91311645507813,492.91311645507813,492.85214233398438,492.85214233398438,492.85214233398438
1490,492.9114990234375,492.9114990234375,492.9114990234375,492.85049438476563,492.85049438476563,492.85049438476563
1500,492.90988159179688,492.90988159179688,492.90988159179688,492.848876953125,492.848876953125,492.848876953125
1510,492.90823364257813,492.90823364257813,492.90823364257813,492.84725952148438,492.84725952148438,492.84725952148438
1520,492.9066162109375,492.9066162109375,492.9066162109375,492.84564208984375,492.84564208984375,492.84564208984375
1530,492.90496826171875,492.90496826171875,492.90496826171875,492.84402465820313,492.84402465820313,492.84402465820313
1539,492.90350341796875,492.90350341796875,492.90350341796875,492.84255981445313,492.84255981445313,492.84255981445313
1539,492.90350341796875,492.90350341796875,492.90350341796875,492.84255981445313,492.84255981445313,492.84255981445313
1540,492.90335083007813,492.90335083007813,492.90335083007813,492.8424072265625,492.8424072265625,492.8424072265625
1550,492.9017333984375,492.9017333984375,492.9017333984375,492.84078979492188,492.84078979492188,492.84078979492188
1560,492.90008544921875,492.90008544921875,492.90008544921875,492.83917236328125,492.83917236328125,492.83917236328125
1570,492.89846801757813,492.89846801757813,492.89846801757813,492.8375244140625,492.8375244140625,492.8375244140625
1580,492.8968505859375,492.8968505859375,492.8968505859375,492.83590698242188,492.83590698242188,492.83590698242188
1590,492.89520263671875,492.89520263671875,492.89520263671875,492.83428955078125,492.83428955078125,492.83428955078125
1600,492.89358520507813,492.89358520507813,492.89358520507813,492.83267211914063,492.83267211914063,492.83267211914063
1610,492.8919677734375,492.8919677734375,492.8919677734375,492.8310546875,492.8310546875,492.8310546875
1620,492.89031982421875,492.89031982421875,492.89031982421875,492.82943725585938,492.82943725585938,492.82943725585938
1630,492.88870239257813,492.88870239257813,492.88870239257813,492.82781982421875,492.82781982421875,492.82781982421875
1640,492.8870849609375,492.8870849609375,492.8870849609375,492.82620239257813,492.82620239257813,492.82620239257813
1650,492.88543701171875,492.88543701171875,492.88543701171875,492.8245849609375,492.8245849609375,492.8245849609375
1660,492.88381958007813,492.88381958007813,492.88381958007813,492.82296752929688,492.82296752929688,492.82296752929688
1670,492.8822021484375,492.8822021484375,492.8822021484375,492.82135009765625,492.82135009765625,492.82135009765625
1680,492.88055419921875,492.88055419921875,492.88055419921875,492.81973266601563,492.81973266601563,492.81973266601563
1690,492.87893676757813,492.87893676757813,492.87893676757813,492.818115234375,492.818115234375,492.818115234375
1700,492.8773193359375,492.8773193359375,492.8773193359375,492.81649780273438,492.81649780273438,492.81649780273438
1702,492.87698364257813,492.87698364257813,492.87698364257813,492.816162109375,492.816162109375,492.816162109375
1702,492.87698364257813,492.87698364257813,492.87698364257813,492.816162109375,492.816162109375,492.816162109375
1702,492.87698364257813,492.87698364257813,492.87698364257813,492.816162109375,492.816162109375,492.816162109375
1702,492.87698364257813,492.87698364257813,492.87698364257813,492.816162109375,492.816162109375,492.816162109375
1704.6416015625,492.87655639648438,492.87655639648438,492.87655639648438,492.81573486328125,492.81573486328125,492.81573486328125
